District,Rice_Fallows,Baseline_SOC,Future_Temp,Future_Precip,Temp_CV,Precip_CV,compute_flag,Mitigation_CO2,Adaptation_Stability,CSA_Index,Area_Norm,Priority_Index,Priority_Class,Net_Annual_Benefit,Net_Benefit_per_Ha
North  & Middle Andaman,0.0,,,,,,False,,,,,,Not Eligible,,
South Andaman,0.0,,,,,,False,,,,,,Not Eligible,,
Nicobars,0.0,,,,,,False,,,,,,Not Eligible,,
Prakasam,23169.977672283978,44.38857139094823,306.1672932012393,821.716105770358,0.012267532114642283,3.900914001659174,True,111384.12162485834,0.33822739731171286,0.1240682813394551,0.038708814647788976,0.0778610773513176,Low Performance – Low Scale,4524591.7700421335,195.27821019242796
Krishna,42493.2036837946,51.709120730769506,306.05568360482033,1077.9317728656217,0.012129015745177236,3.6927932762970963,True,204933.2472756577,0.3505744509070308,0.20921513329892172,0.09680739724421424,0.15371607082267288,Low Performance – High Scale,8327433.770876401,195.97095650503258
East Godavari,38924.957644001304,56.33245990337227,305.5369913056289,1262.7157245927315,0.011344366077861498,3.267363057453298,True,188158.8288357987,0.37888063109626036,0.22239734210130724,0.0860788554808562,0.1521375258215179,Low Performance – Low Scale,7647608.554209288,196.47056842431414
Visakhapatnam,73784.80640543334,50.70076362303497,303.4322888462226,1378.6283340722514,0.010235120537770797,3.113818340446172,True,357183.7558382306,0.39031599010989854,0.34512247300095156,0.19089095059160527,0.27233162663333277,High Performance – High Scale,14519667.026187336,196.783968591102
Sri Potti Sriramulu Nellore,40823.475833331846,43.8667875737591,306.6131313945794,1002.1789660157821,0.012164020708952512,3.481074784677869,True,196693.8875925626,0.3640839349708854,0.2161635345548277,0.09178707499699347,0.15345536337245072,Low Performance – High Scale,7991854.240638363,195.76613890660227
Chittoor,22360.234978186305,49.70535336369895,304.45898994877473,891.877996692325,0.01179996197289674,3.806099601487583,True,107586.19790213417,0.34376667699130964,0.12369721357560863,0.036274184800430084,0.07572774322394868,Low Performance – Low Scale,4370708.426961506,195.46791128203185
Srikakulam,77579.4937359529,44.406507986750434,304.3954432800294,1322.379380511842,0.008710223868162286,3.369367533321324,True,375289.9326836127,0.3718800824934844,0.33193278024897444,0.20230032680903762,0.27228813662355744,High Performance – High Scale,15254602.073563192,196.6318847798011
Kurnool,29586.333864405922,37.1744209980821,306.03838577619473,638.9610831396877,0.012550817573406276,4.271051926707508,True,141902.76071053746,0.31828873997808355,0.13454134375828328,0.05800068651090439,0.09609188440741308,Low Performance – Low Scale,5762946.941156627,194.78408401555242
Guntur,35023.716074471304,44.6308716365945,306.31759795831806,962.4435836176137,0.012225479304439093,3.8106435911194017,True,168665.71406174585,0.3434732905396449,0.17694538162786846,0.07434910572680738,0.12508747867399975,Low Performance – Low Scale,6852694.891833215,195.6587038697509
Vizianagaram,39173.813200845536,44.669978476760036,304.33373750094114,1339.9946011911436,0.00965655147528056,3.3661204363182553,True,189544.54588381186,0.3720392427999308,0.2177445984128352,0.08682708225806625,0.15074069630746675,Low Performance – Low Scale,7704686.469511255,196.67951215290307
Anantapur,6652.96799147977,37.082136600557995,305.092887645731,613.9439730529631,0.011910468305562194,4.027477693061942,False,,,,,,Not Eligible,,
West Godavari,55346.26426455595,52.52841961363582,305.95892427060164,1151.353247206492,0.012117991981687625,3.6427104527378247,True,267165.4330405549,0.35368004874977294,0.25118661020881444,0.13545232130210158,0.1962060848887133,High Performance – High Scale,10857247.367884813,196.16947073405012
Kadapa(YSR),22435.12996889236,48.96636176549943,306.1022182115367,722.6480488561144,0.012462476515633229,3.996034798996063,True,107717.3246471423,0.3328619300787942,0.11684063471657602,0.036499369394400176,0.0733618862124175,Low Performance – Low Scale,4375082.6304313755,195.0103536951953
